"A 1998","ジャンル","曲 名","演奏者","演奏者2","演奏者3","演奏者4","演奏者5","演奏者6","演奏者7","伴奏","伴奏2","伴奏3","伴奏4","作詞者","補作","作曲者","作曲者2","編曲者","レーベル","レコード番号","シリアル番号","発売","備考","昭和館","場所","箱"
"01","歌謡曲","虹の花咲くニューヨーク航路","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"中井正彦",,"中井正彦","タイヘイ","Ⓗ10168","26-315",1951,,,,
"01","歌謡曲","燈台の流れ星","エト邦枝",,,,,,,"タイヘイオーケストラ",,,,"島田逸平",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10168","26-292A",1951,,,,
"01","歌謡曲","珊瑚の島へ船は行く","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10143",,1951,,,,
"01","歌謡曲","おぼこ可愛いや","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"水原伊佐子",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10143","26-237",1951,,,,
"01","歌謡曲","泣くなんて馬鹿よ","豆千代",,,,,,,"タイヘイオーケストラ",,,,"牧 喜代司",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10198","26-370",1952,,,,
"01","流行歌","娘シャンソン","浅草紅香","伏見龍二",,,,,,"タイヘイオーケストラ",,,,"原 味津三",,"原 味津三",,"宇津美俊雄","タイヘイ","Ⓗ10198",,1952,,,,
"01","歌謡曲","新盆踊り","新橋喜代丸","井田照夫","奥山彩子",,,,,"タイヘイオーケストラ",,,,"小倉玄次",,"宇津美俊雄",,"宇津美俊雄","タイヘイ","Ⓗ10142","26-269",1951,"振付つき",,,
"01","歌謡曲","おけさ月夜","〆香(唄)","豊吉(三味線)",,,,,,"タイヘイオーケストラ",,,,"笛木俊雄",,"宇津美俊雄",,"宇津美俊雄","タイヘイ","Ⓗ10142","26-266",1951,"振付つき",,,
"01","歌謡曲","トラヂの言葉","野村雪子",,,,,,,"タイヘイオーケストラ",,,,"豊田一夫",,"豊田一夫",,"大森盛太郎","タイヘイ","Ⓗ10336","28-710",1953,,,,
"01","歌謡曲","おばこ追分","野村雪子",,,,,,,"タイヘイオーケストラ",,,,"豊田一夫",,"豊田一夫",,"大森盛太郎","タイヘイ","Ⓗ10336","28-706",1953,,,,
"06","映画主題歌","甲州鴉","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"藤田まさと",,"飯田景応",,"飯田景応","タイヘイ","Ⓗ10328","28-682",1953,"大映『関の弥太ッペ』主題歌",,,
"06","映画主題歌","お小夜笛","野村雪子",,,,,,,"タイヘイオーケストラ",,,,"藤田まさと",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10328","28-683",1953,"大映『関の弥太ッペ』主題歌",,,
"06","映画主題歌","恋慕しぐれ","瀬川 伸(唄)","豆千代(唄)","音羽菊直(振付)",,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"宇津美俊雄",,"宇津美俊雄","タイヘイ","Ⓗ10156","26-291",1951,"松竹『夏祭三度笠』主題歌",,,
"06","映画主題歌","夏祭三度笠","瀬川 伸(唄)","音羽菊直(振付)",,,,,,"タイヘイオーケストラ",,,,"藤田まさと",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10156","26-290",1951,"松竹『夏祭三度笠』主題歌",,,
"06","映画主題歌","朝焼け富士","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"藤田まさと",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10298","28-629",1953,"東映『朝焼け富士』主題歌",,,
"06","映画主題歌","瀧夜叉姫の唄","浅草紅香",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"加賀谷 伸",,"袴田一郎","タイヘイ","Ⓗ10298","28-630",1953,"東映『朝焼け富士』主題歌",,,
"06","映画主題歌","愛怨夜曲","エト邦枝",,,,,,,"タイヘイオーケストラ",,,,"藤田まさと",,"飯田景応",,"飯田景応","タイヘイ","Ⓗ10227","27-443",1952,"東映『最後の顔役』主題歌",,,
"06","映画主題歌","最後の顔役","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"藤田まさと",,"飯田景応",,"飯田景応","タイヘイ","Ⓗ10227","27-442",1952,"東映『最後の顔役』主題歌",,,
"01","流行歌","パチンコ節","浅草紅香","伏見龍二",,,,,,"タイヘイオーケストラ",,,,"藤田まさと",,"浦辺春夫",,"寺橋正和","タイヘイ","Hｰ10208","26-405",1951,,,,
"10","挿入歌","新ズッキン節","浅草紅香",,,,,,,"タイヘイオーケストラ",,,,"福田 茂",,"草笛道夫",,"草笛道夫","タイヘイ","Hｰ10208","26-404",1951,"何の挿入歌か不明",,,
"01","歌謡曲","あの港この港","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"織戸光次",,"大森盛太郎","タイヘイ","Ⓗ10117","26-330-1",1951,,,,
"01","歌謡曲","二人の夢は今宵だけ","エト邦枝",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"倉田三郎",,"島田逸平","タイヘイ","Ⓗ10117","26-331",1951,,,,
"01","歌謡曲","巴里の花売り娘","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"島田逸平",,"島田逸平","タイヘイ","Hｰ10127","26-218",1951,,,,
"01","歌謡曲","マドロスエレジー","藤島桓夫(唄)","細川潤一(ギター)",,,,,,"タイヘイオーケストラ",,,,"飛鳥井芳朗",,"鈴木 章",,"細川潤一","タイヘイ","Hｰ10127","26-21×",1951,,,,
"01","歌謡曲","遠州鴉","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"牧 喜代司",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10319","28－671",1953,"振付つき",,,
"01","歌謡曲","馬子唄峠","野村雪子",,,,,,,"タイヘイオーケストラ",,,,"横山賢一",,"島田逸平",,"島田逸平","タイヘイ","Ⓗ10319","28－652",1953,,,,
"01","歌謡曲","港基隆モッカ売り","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"山本逸朗",,"土岐武羅男",,"土岐武羅男","タイヘイ","H10253","27-532",1952,,,,
"01","歌謡曲","パラオ島よさらば","瀬川 伸",,,,,,,"タイヘイオーケストラ",,,,"柳瀬八郎",,"山田郁夫",,"堀田 実","タイヘイ","H10253","27-533",1952,,,,
"08","新民謡","炭坑節","新橋喜代丸",,,,,,,"豊吉(三味線)","タイヘイオーケストラ",,,"原 味津三",,"新民謡",,"細川潤一","タイヘイ","Ⓗ10097","25-150",1950,,,,
"08","新民謡","黒田節","井田照夫",,,,,,,"タイヘイオーケストラ",,,,"記載なし",,"新民謡",,"細川潤一","タイヘイ","Ⓗ10097","25-147",1950,,,,
"10","大阪鉄道局撰定歌","丘のそよかぜ","奥山彩子","タイヘイ女声コーラス",,,,,,"タイヘイオーケストラ",,,,"記載なし",,"記載なし",,,"タイヘイ","M-4","25-122",1950,"大阪鉄道局撰定",,,
"10","大阪鉄道局撰定歌","ハイキングの歌","牧 秀樹",,,,,,,"タイヘイオーケストラ",,,,"記載なし",,"記載なし",,,"タイヘイ","M-4","25-121",1950,"大阪鉄道局撰定",,,
"01","歌謡曲","別れの潮路","桜井 稔",,,,,,,"タイヘイオーケストラ",,,,"岬のぼる",,"大倉八郎",,"大倉八郎","タイヘイ","Ⓗ10167","26－304",1951,,,,
"01","歌謡曲","さらば港の赤い灯よ","藤島桓夫",,,,,,,"タイヘイオーケストラ",,,,"金子昌夫",,"上原賢六",,"上原賢六","タイヘイ","Ⓗ10167","26-117",1951,,,,
